what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347227676673
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1347227677895
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347227683071
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347227689644
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347227697888
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347227699189
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1347227710841
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347227717171
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347227720244
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347227731932
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1347227735507
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347227737133
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347227740229
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347227743300
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347227746391
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347227749332
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347227753350
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347227755244
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1347227758220
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deleteNextWord",1347227774963
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347227786568
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347227790380
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347227794771
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347227796754
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347227799987
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347227801690
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1347227808346
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1347227810541
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347227811394
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347227815022
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347227816916
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1347227828561
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347227832997
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347227834630
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347227836378
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1347227850787
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1347227853953
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347227855042
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347227857696
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347227859516
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1347227861541
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347227862356
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347227870256
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347227909884
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1347227917195
